Location,2000,2000_status,2001,2001_status,2002,2002_status,2003,2003_status,2004,2004_status,2005,2005_status,2006,2006_status,2007,2007_status,2008,2008_status,2009,2009_status,2010,2010_status,2011,2011_status,2012,2012_status,2013,2013_status,2014,2014_status,2015,2015_status,2016,2016_status,2017,2017_status,2018,2018_status,2019,2019_status
AT,168,ok,165.6,ok,164.4,ok,163.8,ok,161.9,ok,162.1,ok,163.7,ok,162.9,ok,158.1,ok,150.2,ok,144,ok,138.7,ok,135.7,ok,131.6,ok,128.5,ok,123.7,ok,120.4,ok,120.7,ok,123.0,ok,125.5,p
BE,166.5,ok,163.7,ok,161.1,ok,158.1,ok,156.5,ok,155.2,ok,153.9,ok,152.8,ok,147.8,ok,142.1,ok,133.4,ok,127.2,ok,128,ok,124.0,ok,121.3,ok,117.9,ok,115.9,ok,115.9,ok,119.4,ok,121.5,p
BG,,ok,,ok,,ok,,ok,,ok,,ok,,ok,171.6,ok,171.5,ok,172.1,ok,158.9,ok,151.4,ok,149.2,ok,141.7,ok,135.9,ok,130.3,ok,125.8,ok,126.2,ok,126.7,ok,137.6,p
CY,,ok,,ok,,ok,,ok,173.4,ok,173,ok,170.1,ok,170.3,ok,165.6,ok,160.7,ok,155.8,ok,149.9,ok,144.3,ok,139.2,ok,129.8,ok,125.7,ok,123.5,ok,122.2,ok,123.4,ok,126.8,p
CZ,,ok,,ok,,ok,,ok,154,ok,155.3,ok,154.2,ok,154.2,ok,154.4,ok,155.5,ok,148.9,ok,144.5,ok,140.8,ok,134.6,ok,131.6,ok,126.3,ok,121.2,ok,124.1,ok,126.0,ok,128.7,p
DE,182.2,ok,179.5,ok,177.4,ok,175.9,ok,174.9,ok,173.4,ok,172.5,ok,169.5,ok,164.8,ok,154,ok,151.1,ok,145.6,ok,141.6,ok,136.1,ok,132.5,ok,128.3,ok,126.9,ok,127.2,ok,129.5,ok,131.2,p
DK,175.7,ok,172.9,ok,170,ok,169,ok,165.9,ok,163.7,ok,162.5,ok,159.8,ok,146.4,ok,139.1,ok,126.2,ok,125,ok,117,ok,112.7,ok,110.2,ok,106.2,ok,106.0,ok,107.1,ok,109.6,ok,111.9,p
EE,,ok,,ok,,ok,,ok,179,ok,183.7,ok,182.7,ok,181.6,ok,177.4,ok,170.3,ok,162,ok,156.9,ok,150.3,ok,147.0,ok,140.9,ok,137.2,ok,133.9,ok,132.8,ok,132.4,ok,130.1,p
EL,180.3,ok,166.5,ok,167.8,ok,168.9,ok,168.8,ok,167.4,ok,166.5,ok,165.3,ok,160.8,ok,157.4,ok,143.7,ok,132.7,ok,121.1,ok,111.9,ok,108.2,ok,106.4,ok,106.3,ok,108.8,ok,111.4,ok,115.6,p
ES,159.2,ok,156.8,ok,156.4,ok,157,ok,155.3,ok,155.3,ok,155.6,ok,153.2,ok,148.2,ok,142.2,ok,137.9,ok,133.8,ok,128.7,ok,122.4,ok,118.6,ok,115.3,ok,114.4,ok,115.0,ok,118.1,ok,121.3,p
EU27_2007,,ok,,ok,,ok,,ok,,ok,,ok,,ok,158.7,ok,153.6,ok,145.7,ok,140.3,ok,135.7,ok,132.2,ok,126.7,ok,,ok,,ok,,ok,,ok,,ok,,ok
EU27_2020,,ok,,ok,,ok,,ok,,ok,,ok,,ok,157.5,e,152.8,e,145.0,e,139.6,e,135.3,e,132.0,e,126.4,ok,123.1,ok,119.1,ok,117.6,ok,118.0,ok,120.1,ok,122.2,p
EU28,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,123.4,ok,119.5,ok,118.1,ok,118.5,ok,,ok,,ok
FI,181.1,ok,178.1,ok,177.2,ok,178.3,ok,179.8,ok,179.5,ok,179.2,ok,177.3,ok,162.9,ok,157,ok,149,ok,144,ok,139.1,ok,131.8,ok,127.4,ok,123.0,ok,120.0,ok,118.2,ok,116.7,ok,115.3,p
FR,163.6,ok,159.8,ok,156.8,ok,155,ok,153.1,ok,152.3,ok,149.9,ok,149.4,ok,140.1,ok,133.5,ok,130.5,ok,127.7,ok,124.4,ok,117.4,ok,114.2,ok,111.0,ok,109.8,ok,110.4,ok,112.2,ok,113.7,p
HR,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,127.1,ok,115.8,ok,112.8,ok,111.5,ok,113.1,ok,115.3,ok,119.4,p
HU,,ok,,ok,,ok,,ok,158.5,ok,156.3,ok,154.6,ok,155,ok,153.4,ok,153.4,ok,147.4,ok,141.6,ok,140.8,ok,134.4,ok,133.0,ok,129.6,ok,125.9,ok,125.6,ok,127.9,ok,131.8,p
IE,161.3,ok,166.6,ok,164.3,ok,166.7,ok,167.6,ok,166.8,ok,166.3,ok,161.6,ok,156.8,ok,144.4,ok,133.2,ok,128.3,ok,125.1,ok,120.7,ok,117.1,ok,114.1,ok,112.0,ok,111.6,ok,113.3,ok,114.0,p
IS,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,116.8,ok,114.3,p
IT,155.1,ok,158.3,ok,156.6,ok,152.9,ok,150,ok,149.5,ok,149.2,ok,146.5,ok,144.7,ok,136.3,ok,132.7,ok,129.6,ok,126.2,ok,121.1,ok,118.1,ok,115.2,ok,113.3,ok,113.3,ok,115.9,ok,119.4,p
LT,,ok,,ok,,ok,,ok,187.5,ok,186.3,ok,163.4,ok,176.5,ok,170.1,ok,166,ok,150.9,ok,144.4,ok,144.2,ok,139.8,ok,135.8,ok,130.0,ok,126.2,ok,127.4,ok,128.6,ok,132.0,p
LU,176.7,ok,177,ok,173.8,ok,173.5,ok,169.7,ok,168.6,ok,168.2,ok,165.8,ok,159.5,ok,152.5,ok,146,ok,142.2,ok,137,ok,133.4,ok,129.9,ok,127.5,ok,126.1,ok,127.0,ok,131.4,ok,133.0,p
LV,,ok,,ok,,ok,,ok,192.4,ok,187.2,ok,183.1,ok,183.5,ok,180.6,ok,176.9,ok,162,ok,154.4,ok,152,ok,147.1,ok,140.4,ok,137.1,ok,128.9,ok,128.8,ok,128.8,ok,127.9,p
MT,,ok,,ok,,ok,,ok,148.8,ok,150.5,ok,145.9,ok,147.8,ok,146.9,ok,135.7,ok,131.2,ok,124.7,ok,121.5,ok,118.7,ok,115.3,ok,113.3,ok,111.8,ok,111.0,ok,107.7,ok,105.3,p
NL,174.2,ok,174,ok,172.4,ok,173.5,ok,171,ok,169.9,ok,166.7,ok,164.8,ok,156.7,ok,146.9,ok,135.8,ok,126.1,ok,118.6,ok,109.1,ok,107.3,ok,101.2,ok,105.9,ok,108.3,ok,105.5,ok,98.4,p
NO,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,,ok,59.9,p
PL,,ok,,ok,,ok,,ok,154.1,ok,155.2,ok,155.9,ok,153.7,ok,153.1,ok,151.6,ok,146.2,ok,144.5,ok,141.3,ok,138.1,ok,132.9,ok,129.3,ok,125.8,ok,127.6,ok,129.8,ok,132.0,p
PT,169.2,ok,,ok,154,ok,149.9,ok,147.1,ok,144.9,ok,145,ok,144.2,ok,138.2,ok,133.8,ok,127.2,ok,122.8,ok,117.6,ok,112.2,ok,108.8,ok,105.7,ok,104.7,ok,104.7,ok,106.1,ok,109.4,p
RO,,ok,,ok,,ok,,ok,,ok,,ok,,ok,154.8,ok,156,ok,157,ok,148.5,ok,140.7,ok,139,ok,132.1,ok,128.2,ok,125.0,ok,122.0,ok,120.6,ok,121.5,ok,124.3,p
SE,200,ok,200.2,ok,198.2,ok,198.5,ok,197.2,ok,193.8,ok,188.6,ok,181.4,ok,173.9,ok,164.5,ok,151.3,ok,141.8,ok,135.9,ok,133.2,ok,131.0,ok,126.3,ok,123.1,ok,122.3,ok,122.2,ok,119.7,p
SI,,ok,,ok,,ok,,ok,152.7,ok,157.2,ok,155.3,ok,156.3,ok,155.9,ok,152,ok,144.4,ok,139.7,ok,133.4,ok,125.6,ok,121.3,ok,119.2,ok,119.0,ok,119.6,ok,120.9,ok,123.7,p
SK,,ok,,ok,,ok,,ok,,ok,157.4,ok,152,ok,152.7,ok,150.4,ok,146.6,ok,149,ok,144.9,ok,141,ok,135.1,ok,131.7,ok,127.6,ok,124.8,ok,126.1,ok,127.6,ok,133.4,p
UK,185.4,ok,177.9,ok,174.8,ok,172.7,ok,171.4,ok,169.7,ok,167.7,ok,164.7,ok,158.2,ok,149.7,ok,144.2,ok,138,ok,132.9,ok,128.3,ok,124.6,ok,121.3,ok,120.1,ok,121.1,ok,124.6,ok,127.7,p
