Unit,Location,Year,Missing
I10,ME,2019,1
I10,ME,2009,1
I10,RS,2009,1
I10,ME,2008,1
I10,RS,2008,1
I10,ME,2007,1
I10,RS,2007,1
I10,ME,2006,1
I10,RS,2006,1
I10,ME,2005,1
I10,RS,2005,1
I10,ME,2004,1
I10,RS,2004,1
I10,ME,2003,1
I10,RS,2003,1
I10,ME,2002,1
I10,RS,2002,1
I10,ME,2001,1
I10,RS,2001,1
I10,ME,2000,1
I10,RS,2000,1
I10,EU27_2020,1999,1
I10,EU28,1999,1
I10,LT,1999,1
I10,ME,1999,1
I10,MK,1999,1
I10,MT,1999,1
I10,NL,1999,1
I10,RS,1999,1
I10,EU27_2020,1998,1
I10,EU28,1998,1
I10,LT,1998,1
I10,ME,1998,1
I10,MK,1998,1
I10,MT,1998,1
I10,NL,1998,1
I10,RS,1998,1
I10,EE,1997,1
I10,EU27_2020,1997,1
I10,EU28,1997,1
I10,LT,1997,1
I10,ME,1997,1
I10,MK,1997,1
I10,MT,1997,1
I10,NL,1997,1
I10,RS,1997,1
I10,TR,1997,1
I10,EE,1996,1
I10,EU27_2020,1996,1
I10,EU28,1996,1
I10,LT,1996,1
I10,ME,1996,1
I10,MK,1996,1
I10,MT,1996,1
I10,NL,1996,1
I10,RS,1996,1
I10,TR,1996,1
I10,EE,1995,1
I10,EU27_2020,1995,1
I10,EU28,1995,1
I10,LT,1995,1
I10,ME,1995,1
I10,MK,1995,1
I10,MT,1995,1
I10,NL,1995,1
I10,RS,1995,1
I10,TR,1995,1
I10,AT,1994,1
I10,BE,1994,1
I10,BG,1994,1
I10,CY,1994,1
I10,CZ,1994,1
I10,EE,1994,1
I10,EL,1994,1
I10,ES,1994,1
I10,EU27_2020,1994,1
I10,EU28,1994,1
I10,HR,1994,1
I10,HU,1994,1
I10,IE,1994,1
I10,IS,1994,1
I10,IT,1994,1
I10,LT,1994,1
I10,LU,1994,1
I10,LV,1994,1
I10,ME,1994,1
I10,MK,1994,1
I10,MT,1994,1
I10,NL,1994,1
I10,NO,1994,1
I10,PL,1994,1
I10,PT,1994,1
I10,RO,1994,1
I10,RS,1994,1
I10,SI,1994,1
I10,SK,1994,1
I10,TR,1994,1
I10,AT,1993,1
I10,BE,1993,1
I10,BG,1993,1
I10,CY,1993,1
I10,CZ,1993,1
I10,EE,1993,1
I10,EL,1993,1
I10,ES,1993,1
I10,EU27_2020,1993,1
I10,EU28,1993,1
I10,HR,1993,1
I10,HU,1993,1
I10,IE,1993,1
I10,IS,1993,1
I10,IT,1993,1
I10,LT,1993,1
I10,LU,1993,1
I10,LV,1993,1
I10,ME,1993,1
I10,MK,1993,1
I10,MT,1993,1
I10,NL,1993,1
I10,NO,1993,1
I10,PL,1993,1
I10,PT,1993,1
I10,RO,1993,1
I10,RS,1993,1
I10,SI,1993,1
I10,SK,1993,1
I10,TR,1993,1
I10,AT,1992,1
I10,BE,1992,1
I10,BG,1992,1
I10,CY,1992,1
I10,CZ,1992,1
I10,EE,1992,1
I10,EL,1992,1
I10,ES,1992,1
I10,EU27_2020,1992,1
I10,EU28,1992,1
I10,HR,1992,1
I10,HU,1992,1
I10,IE,1992,1
I10,IS,1992,1
I10,IT,1992,1
I10,LT,1992,1
I10,LU,1992,1
I10,LV,1992,1
I10,ME,1992,1
I10,MK,1992,1
I10,MT,1992,1
I10,NL,1992,1
I10,NO,1992,1
I10,PL,1992,1
I10,PT,1992,1
I10,RO,1992,1
I10,RS,1992,1
I10,SE,1992,1
I10,SI,1992,1
I10,SK,1992,1
I10,TR,1992,1
I10,AT,1991,1
I10,BE,1991,1
I10,BG,1991,1
I10,CY,1991,1
I10,CZ,1991,1
I10,EE,1991,1
I10,EL,1991,1
I10,ES,1991,1
I10,EU27_2020,1991,1
I10,EU28,1991,1
I10,HR,1991,1
I10,HU,1991,1
I10,IE,1991,1
I10,IS,1991,1
I10,IT,1991,1
I10,LT,1991,1
I10,LU,1991,1
I10,LV,1991,1
I10,ME,1991,1
I10,MK,1991,1
I10,MT,1991,1
I10,NL,1991,1
I10,NO,1991,1
I10,PL,1991,1
I10,PT,1991,1
I10,RO,1991,1
I10,RS,1991,1
I10,SE,1991,1
I10,SI,1991,1
I10,SK,1991,1
I10,TR,1991,1
I10,AT,1990,1
I10,BE,1990,1
I10,BG,1990,1
I10,CY,1990,1
I10,CZ,1990,1
I10,DE,1990,1
I10,EE,1990,1
I10,EL,1990,1
I10,ES,1990,1
I10,EU27_2020,1990,1
I10,EU28,1990,1
I10,HR,1990,1
I10,HU,1990,1
I10,IE,1990,1
I10,IS,1990,1
I10,IT,1990,1
I10,LT,1990,1
I10,LU,1990,1
I10,LV,1990,1
I10,ME,1990,1
I10,MK,1990,1
I10,MT,1990,1
I10,NL,1990,1
I10,PL,1990,1
I10,PT,1990,1
I10,RO,1990,1
I10,RS,1990,1
I10,SE,1990,1
I10,SI,1990,1
I10,SK,1990,1
I10,TR,1990,1
